batch size,balanced head count,possible outcomes,possible balanced outcomes,calculated percentage,"observed percentage,",percentage error,time in seconds
 72, 36, 4722366482869645213696, 442512540276836794368, 9.37%, 9.37%, 0.00%, 10.610019
 74, 37, 18889465931478580854784, 1746130564335626092544, 9.24%, 9.17%, 0.08%, 12.864731
 76, 38, 75557863725914323419136, 6892620648693260877824, 9.12%, 9.13%, 0.01%, 30.712520
 78, 39, 302231454903657293676544, 27217014869199031369728, 9.01%, 9.01%, 0.01%, 36.900541
 80, 40, 1208925819614629174706176, 107507208733336184815616, 8.89%, 8.83%, 0.06%, 33.888761
 82, 41, 4835703278458516698824704, 424784580848791754637312, 8.78%, 8.73%, 0.06%, 35.716868
 84, 42, 19342813113834066795298816, 1678910486211891086491648, 8.68%, 8.67%, 0.01%, 34.198462
 86, 43, 77371252455336267181195264, 6637553085023755345854464, 8.58%, 8.58%, 0.00%, 16.635167
 88, 44, 309485009821345068724781056, 26248505381684852052459520, 8.48%, 8.49%, 0.01%, 15.038545
 90, 45, 1237940039285380274899124224, 103827421287553419557470208, 8.39%, 8.39%, 0.00%, 61.416147
 92, 46, 4951760157141521099596496896, 410795449442059170523119616, 8.30%, 8.32%, 0.02%, 33.607561
 94, 47, 19807040628566084398385987584, 1625701140345170281774448640, 8.21%, 8.24%, 0.03%, 49.009824
 96, 48, 79228162514264337593543950336, 6435067013866298482268045312, 8.12%, 8.09%, 0.03%, 48.511622
 98, 49, 316912650057057350374175801344, 25477612258980858042825834496, 8.04%, 7.98%, 0.06%, 44.908492
 100, 50, 1267650600228229401496703205376, 100891344545564202071714955264, 7.96%, 7.94%, 0.02%, 42.887873
 102, 51, 5070602400912917605986812821504, 399608854866744482497650753536, 7.88%, 7.90%, 0.02%, 40.437838
 104, 52, 20282409603651670423947251286016, 1583065848125949179669308768256, 7.81%, 7.80%, 0.00%, 18.734362
 106, 53, 81129638414606681695789005144064, 6272525058612251572831214632960, 7.73%, 7.72%, 0.01%, 21.806424
 108, 54, 324518553658426726783156020576256, 24857784491537439458357197930496, 7.66%, 7.62%, 0.04%, 34.024957
 110, 55, 1298074214633706907132624082305024, 98527218530093864209181977870336, 7.59%, 7.57%, 0.02%, 24.944285
 112, 56, 5192296858534827628530496329220096, 390590044887157806605200995123200, 7.52%, 7.54%, 0.02%, 50.569745
 114, 57, 20769187434139310514121985316880384, 1548655265692941377687156173045760, 7.46%, 7.48%, 0.02%, 42.852944
 116, 58, 83076749736557242056487941267521536, 6141219157058216185750939781562368, 7.39%, 7.45%, 0.06%, 17.133772
 118, 59, 332306998946228968225951765070086144, 24356699707654620243783880280113152, 7.33%, 7.32%, 0.01%, 17.326969
 120, 60, 1329227995784915872903807060280344576, 96614908840363320510648965979439104, 7.27%, 7.24%, 0.03%, 17.499987
 122, 61, 5316911983139663491615228241121378304, 383291933432261069847172205709885440, 7.21%, 7.15%, 0.06%, 17.970033
 124, 62, 21267647932558653966460912964485513216, 1520803477811874488910708502343712768, 7.15%, 7.13%, 0.02%, 18.143946
 126, 63, 85070591730234615865843651857942052864, 6034934435761406252277432196318363648, 7.09%, 7.08%, 0.02%, 26.880173
 128, 64, 340282366920938463463374607431768211456, 23951146041928085048222778950401654784, 7.04%, 7.04%, 0.00%, 18.704638
 130, 65, 1361129467683753853853498429727072845824, 95067625827960695037201642220324651008, 6.98%, 6.98%, 0.01%, 23.736472
 132, 66, 5444517870735015415413993718908291383296, 377389666165540982118635218100616691712, 6.93%, 6.93%, 0.00%, 47.443074
 134, 67, 21778071482940061661655974875633165533184, 1498293301493043322441768881809281515520, 6.88%, 6.90%, 0.02%, 56.424699
 136, 68, 87112285931760246646623899502532662132736, 5949105755928260170869285438568745926656, 6.83%, 6.85%, 0.02%, 56.177651
 138, 69, 348449143727040986586495598010130648530944, 23623985175715117470714656057586379390976, 6.78%, 6.80%, 0.02%, 58.780929
 140, 70, 1393796574908163946345982392040522594123776, 93820969697840035053701952696447316000768, 6.73%, 6.77%, 0.04%, 61.790273
 142, 71, 5575186299632655785383929568162090376495104, 372641034574519600911024748353975891263488, 6.68%, 6.70%, 0.01%, 63.007884
 144, 72, 22300745198530623141535718272648361505980416, 1480212998448786078600004413383233106870272, 6.64%, 6.62%, 0.02%, 40.973588
 146, 73, 89202980794122492566142873090593446023921664, 5880298213015726340193057331809327857532928, 6.59%, 6.55%, 0.05%, 45.014190
 148, 74, 356811923176489970264571492362373784095686656, 23362265873332746914458786659030836652802048, 6.55%, 6.56%, 0.01%, 62.501682
 150, 75, 1427247692705959881058285969449495136382746624, 92826069736708782790059766800943172160585728, 6.50%, 6.54%, 0.04%, 64.902042
 152, 76, 5708990770823839524233143877797980545530986496, 368861487637974427405900250769713474473820160, 6.46%, 6.45%, 0.02%, 68.389231
 154, 77, 22835963083295358096932575511191922182123945984, 1465865132691171012630954552062328443431288832, 6.42%, 6.44%, 0.02%, 62.152206
 156, 78, 91343852333181432387730302044767688728495783936, 5825874245311064077820043695980183317370634240, 6.38%, 6.37%, 0.01%, 25.151804
 158, 79, 365375409332725729550921208179070754913983135744, 23156006494021190210498092451250656340485341184, 6.34%, 6.32%, 0.02%, 23.247830
 160, 80, 1461501637330902918203684832716283019655932542976, 92045125813734228044368476945970795361341538304, 6.30%, 6.28%, 0.01%, 25.400017
 162, 81, 5846006549323611672814739330865132078623730171904, 365907784099042256406489918735961038109513089024, 6.26%, 6.29%, 0.03%, 23.764925
 164, 82, 23384026197294446691258957323460528314494920687616, 1454706556296192517803503183722178605602779955200, 6.22%, 6.23%, 0.01%, 24.513210
 166, 83, 93536104789177786765035829293842113257979682750464, 5783773055153536497018834726941991637748641955840, 6.18%, 6.16%, 0.02%, 25.689196
 168, 84, 374144419156711147060143317175368453031918731001856, 22997383338348585147144506838346725001927952695296, 6.15%, 6.10%, 0.05%, 24.638798
 170, 85, 1496577676626844588240573268701473812127674924007424, 91448418451315555053431781394622593499998416011264, 6.11%, 6.07%, 0.04%, 24.790025
 172, 86, 5986310706507378352962293074805895248510699696029696, 363666966399417647788564545985479703913452976209920, 6.07%, 6.07%, 0.01%, 25.101354
